sample,data_out
0,0
1,6
2,14
3,-10
4,16
5,24
6,-47
7,54
8,29
9,-120
10,160
11,-12
12,-245
13,460
14,-289
15,-576
16,4423
17,9423
18,9136
19,8387
20,9092
21,8859
22,8687
23,8967
24,8818
25,8793
26,8894
27,8823
28,8831
29,8857
30,8833
31,8841
32,8847
33,8847
34,8847
35,8847
36,8847
37,8847
38,8847
39,8847
40,8847
41,8847
42,8847
43,8847
44,8847
45,8847
46,8847
47,8847
48,8847
49,8847
50,8847
51,8847
52,8847
53,8847
54,8847
55,8847
56,8847
57,8847
58,8847
59,8847
60,8847
61,8847
62,8847
63,8847
64,8847
65,8847
66,8847
67,8847
68,8847
69,8847
70,8847
71,8847
72,8847
73,8847
74,8847
75,8847
76,8847
77,8847
78,8847
79,8847
80,8847
81,8847
82,8847
83,8847
84,8847
85,8847
86,8847
87,8847
88,8847
89,8847
90,8847
91,8847
92,8847
93,8847
94,8847
95,8847
96,8847
97,8847
98,8847
99,8847
